2640,搬砖侠,3,2019-01-10,中美合拍的《新白娘子前传》，在脍炙人口的经典传说的基础上，加入了更具有现代感的改编，故事拉回到了五百年前，真正做到了文体两开花。中国风的场景挺精致，并且颠覆了此前追光动画作品的低幼属性，主打成人向，无论是画风还是影片中的“一夜情”桥段都相当少儿不宜，另外还有向徐克版《青蛇》和剧版《白娘子》致敬的地方，但缺点依然很明显，剧情转折相当突兀，很不连贯，而且追光动画确实在角色建模和面部表情设计上几乎毫无进步，角色一水儿的面瘫和网红锥子脸，可惜了
1953,凌睿,3,2019-01-09,"捕蛇村红叶似火、风景如画，村外崇山峻岭、层林尽染，永州城流光溢彩、灯火辉煌。
水墨风非常惊艳，漫天蒲公英无比浪漫，纸人军团极致震撼，动作戏让人瞠目结舌。
小白最仙女，小青最妖娆，狐妖最邪魅，蛇母最霸气，个个风华绝代，英姿飒爽，国漫（严格的说是合拍）终于不再玛丽苏、傻白甜。
“人间多的是长了两只脚的恶人，长了条尾巴又怎么样”最深刻；
“我的法力都被吸光了”“这下你再也推不开我了”最催泪。
片尾又和《白蛇传》的民间传说无缝衔接，解释了白素贞和许仙一见钟情的原因，小狗“肚兜”也修足福分，转世为人，成为许仙的姐夫。
美术登峰造极，画面美不胜收，缺点在于剧情比较简单，节奏略显沉闷，总体称得上“优秀”二字。
今年年初，中美合拍的《白蛇：缘起》即将正式上映，文体两开花，弘扬中华文化，希望大家多多关注。"
1779,女神的秋裤,4,2019-01-05,2019年的第一份国产惊喜，超出预期，虽然还有人物表情动作略显僵硬的通病，但已经比《风语咒》要好，而且画面精美，构图讲究，中国风终于不再是素材的堆砌，而是拍出了古典韵味，实在难得，诚意作品，也有水平。
1341,沧海一小生,4,2019-01-11,画面处理让人惊艳，那些如画风景栩栩如生、那些打斗的场面也是细腻、水平颇高；影片源于古老的故事，这次却另辟蹊径，他们居然要并肩作战了；中美合作，动画片整体制作偏美风，所以人物可能让你有些许熟悉感，比如女生特有花木兰的痕迹，但是男生怎么像胡歌哩，难道制作方看了仙剑，哈哈哈；不过瑕不掩瑜，片子值得一看，另外音乐也是让人心醉！
575,嘟嘟熊之父,1,2019-01-08,已阵亡。这精虫上脑腻腻歪歪的爱情太令人作呕了，谁看谁瞎。你说你画风搞那么精致有啥用？请个合格编剧能花你几个钱？
561,壹安²,4,2019-01-10,国漫啊国漫，与其称之为所谓的“崛起”，不如说“魂儿”一直都在，只是“皮囊”总是染上别的颜色。《白蛇：缘起》几乎是近几年的国漫第一次敢把“爱情”主题放在第一位的，用缘分的主题、高端的国风，保证了“皮囊”纯正好看。还是要感谢有这些认真的国漫人，足以值得我们骄傲。
463,一口吃掉小蛋糕,5,2019-01-03,"boss真的不是灭霸吗？蛇母为什么那么像安以轩。所以这个算十五禁了吧？猝不及防的床戏啊！开篇的水墨风实在太美了，如果全程死磕水墨风会不会更惊艳呢？不过影片画风也是无敌了
！背景太精细了！仿佛是实景拍摄。结尾的青城山下回忆杀！"
536,熊升树,5,2019-01-06,追光的动画一直在看，这部剧本终于靠谱了，几个人物几方势力的矛盾冲突铺垫合理而又层层递进，作为一个脱胎于烂熟传说的故事发展却十分吸引人，各种细节也充满了想象力的闪光。人物塑造也很出彩，小白这么主动还有情欲戏我超喜欢，斜马尾的毒舌小青也很带感，许宣居然能想到做妖精想必那一夜非常销魂……希望追光能把前几部赔的都挣回来吧
301,瑜笙皆假期,1,2019-01-08,看网红冯提莫版白蛇如何“cos”泰坦尼克号的冰山别离。
275,metaphor17,2,2019-01-08,由于照顾海外市场的需要，影片在故事层面做了妥协，略微有些薄弱。技术上也称不上太好吧，为何大家对国漫如此的宽容？
